Арбатско-Покровская линия,Арбатско-Покровская линия,2,82,162
Бутовская линия,Бутовская линия,133,212,243
Замоскворецкая линия,Замоскворецкая линия,2,154,85
Калининская линия 2,Калининская линия,255,216,3
Калининская линия,Калининская линия,255,216,3
Калужско-Рижская линия,Калужско-Рижская линия,251,170,51
Каховская линия,Каховская линия,80,145,187
Кольцевая линия,Кольцевая линия,116,92,47
Люблинско-Дмитровская линия,Люблинско-Дмитровская линия,177,211,50
Московская монорельсовая транспортная система,Московская монорельсовая транспортная система,12,92,172
Серпуховско-Тимирязевская линия,Серпуховско-Тимирязевская линия,172,173,175
Сокольническая линия,Сокольническая линия,239,30,37
Таганско-Краснопресненская линия,Таганско-Краснопресненская линия,182,29,142
Филевская линия,Филевская линия,1,158,224
Филевская линия 2,Филевская линия,1,158,224
